player,Pos,newPos,birthDate,From,To
A.J. Hammons,C,Big,8/27/1992,2017,2017
Adreian Payne,C,Big,2/19/1991,2015,2018
Alan Williams,C,Big,1/28/1993,2016,2018
Alex Kirk,C,Big,11/14/1991,2015,2015
Alex Len,C,Big,6/16/1993,2014,2018
Andre Drummond,C,Big,8/10/1993,2013,2018
Anthony Davis,C,Big,3/11/1993,2013,2018
Bam Adebayo,C,Big,7/18/1997,2018,2018
Bernard James,C,Big,2/7/1985,2013,2015
Cameron Bairstow,C,Big,12/7/1990,2015,2016
Chinanu Onuaku,C,Big,11/1/1996,2017,2018
Cody Zeller,C,Big,10/5/1992,2014,2018
Dakari Johnson,C,Big,9/22/1995,2018,2018
Damian Jones,C,Big,6/30/1995,2017,2018
Daniel Ochefu,C,Big,12/15/1993,2017,2017
Dewayne Dedmon,C,Big,8/12/1989,2014,2018
Deyonta Davis,C,Big,12/2/1996,2017,2018
Diamond Stone,C,Big,2/10/1997,2017,2017
Domantas Sabonis,C,Big,5/3/1996,2017,2018
Dwight Powell,C,Big,7/20/1991,2015,2018
Eric Moreland,C,Big,12/24/1991,2015,2018
Fab Melo,C,Big,6/20/1990,2013,2013
Festus Ezeli,C,Big,10/21/1989,2013,2016
Frank Kaminsky,C,Big,4/4/1993,2016,2018
Gorgui Dieng,C,Big,1/18/1990,2014,2018
Henry Sims,C,Big,3/27/1990,2013,2016
Ike Anigbogu,C,Big,10/22/1998,2018,2018
Jack Cooley,C,Big,4/4/1991,2015,2018
Jahlil Okafor,C,Big,12/15/1995,2016,2018
Jakob Poeltl,C,Big,10/15/1995,2017,2018
Jarnell Stokes,C,Big,1/7/1994,2015,2017
Jarrett Allen,C,Big,4/21/1998,2018,2018
Jeff Withey,C,Big,3/7/1990,2014,2018
Joel Embiid,C,Big,3/16/1994,2017,2018
John Henson,C,Big,12/28/1990,2013,2018
Johnny O'Bryant,C,Big,6/1/1993,2015,2018
Josh Harrellson,C,Big,2/12/1989,2012,2014
Julius Randle,C,Big,11/29/1994,2015,2018
Justin Hamilton,C,Big,4/1/1990,2014,2017
Justin Patton,C,Big,6/14/1997,2018,2018
Karl-Anthony Towns,C,Big,11/15/1995,2016,2018
Keith Benson,C,Big,8/13/1988,2012,2012
Kelly Olynyk,C,Big,4/19/1991,2014,2018
Kevon Looney,C,Big,2/6/1996,2016,2018
Kyle O'Quinn,C,Big,3/26/1990,2013,2018
Larry Nance,C,Big,1/1/1993,2016,2018
Lauri Markkanen,C,Big,5/22/1997,2018,2018
Lavoy Allen,C,Big,2/4/1989,2012,2017
Marshall Plumlee,C,Big,7/14/1992,2017,2018
Mason Plumlee,C,Big,3/5/1990,2014,2018
Meyers Leonard,C,Big,2/27/1992,2013,2018
Mike Muscala,C,Big,7/1/1991,2014,2018
Mike Tobey,C,Big,10/10/1994,2017,2017
Miles Plumlee,C,Big,9/1/1988,2013,2018
Mitch McGary,C,Big,6/6/1992,2015,2016
Montrezl Harrell,C,Big,1/26/1994,2016,2018
Myles Turner,C,Big,3/24/1996,2016,2018
Nerlens Noel,C,Big,4/10/1994,2015,2018
Robert Sacre,C,Big,6/6/1989,2013,2016
Shawn Long,C,Big,1/29/1993,2017,2017
Shayne Whittington,C,Big,3/27/1991,2015,2016
Sim Bhullar,C,Big,12/2/1992,2015,2015
Stephen Zimmerman,C,Big,9/9/1996,2017,2017
Steven Adams,C,Big,7/20/1993,2014,2018
Tarik Black,C,Big,11/22/1991,2015,2018
Thomas Bryant,C,Big,7/31/1997,2018,2018
Tony Bradley,C,Big,1/8/1998,2018,2018
