player,from,school,conf,newPos,birthDate,Height
Deng Adel,2019,Louisville,ACC,Wing,2/1/1996,'6-7'
Rawle Alkins,2019,Arizona,Pac-12,Guard,10/29/1997,'6-4'
Mike Amius,2019,Western Carolina,Southern,Wing,1/1/1996,'6-7'
Kostas Antetokounmpo,2019,Dayton,A-10,Wing,11/20/1997,'6-10'
DeAndre Ayton,2019,Arizona,Pac-12,Big,7/23/1998,'7-0'
Marvin Bagley III,2019,Duke,ACC,Big,3/14/1999,'6-11'
Mo Bamba,2019,Texas,Big 12,Big,5/12/1998,'7-0'
Keita Bates-Diop,2019,Ohio State,Big Ten,Wing,1/23/1996,'6-8'
LeRon Black,2019,Illinois,Big Ten,Wing,1/31/1996,'6-7'
Mikal Bridges,2019,Villanova,Big East,Wing,8/30/1996,'6-7'
Miles Bridges,2019,Michigan State,Big Ten,Big,3/21/1998,'6-6'
Bruce Brown,2019,Miami (FL),ACC,Guard,8/15/1996,'6-5'
Troy Brown,2019,Oregon,Pac-12,Guard,7/28/1999,'6-7'
Jalen Brunson,2019,Villanova,Big East,Guard,8/31/1996,'6-2'
Elijah Bryant,2019,Elon,CAA,Guard,4/19/1995,'6-5'
Elijah Bryant,2019,BYU,WCC,Guard,4/19/1995,'6-5'
J.J. Caldwell,2019,Texas A&M,SEC,Guard,11/19/1997,'6-0'
Tony Carr,2019,Penn State,Big Ten,Guard,10/11/1997,'6-4'
Wendell Carter Jr.,2019,Duke,ACC,Big,4/16/1999,'6-10'
Kameron Chatman,2019,Michigan,Big Ten,Wing,6/1/1996,'6-8'
Kameron Chatman,2019,Detroit,Horizon,Wing,6/1/1996,'6-8'
Bryant Crawford,2019,Wake Forest,ACC,Guard,3/21/1997,'6-3'
Eric Davis Jr.,2019,Texas,Big 12,Guard,5/26/1997,'6-3'
Tyler Davis,2019,Texas A&M,SEC,Big,5/22/1997,'6-10'
Marcus Derrickson,2019,Georgetown,Big East,Wing,2/1/1996,'6-7'
Hamidou Diallo,2019,Kentucky,SEC,Guard,7/31/1998,'6-4'
Dikembe Dixson,2019,UIC,Horizon,Wing,9/6/1996,'6-7'
Donte DiVincenzo,2019,Villanova,Big East,Wing,1/31/1997,'6-5'
Trevon Duval,2019,Duke,ACC,Guard,8/3/1998,'6-3'
Drew Eubanks,2019,Oregon State,Pac-12,Big,2/1/1996,'6-10'
Jacob Evans,2019,Cincinnati,AAC,Guard,6/18/1997,'6-5'
Robert Franks,2019,Washington State,Pac-12,Wing,12/18/1996,'6-7'
Melvin Frazier,2019,Tulane,AAC,Guard,8/30/1996,'6-6'
Harry Froling,2019,SMU,AAC,Big,4/20/1998,'6-11'
Harry Froling,2019,Marquette,Big East,Big,4/20/1998,'6-11'
Wenyen Gabriel,2019,Kentucky,SEC,Wing,3/26/1997,'6-9'
Kaiser Gates,2019,Xavier,Big East,Wing,11/8/1996,'6-8'
Shai Gilgeous-Alexander,2019,Kentucky,SEC,Guard,7/12/1998,'6-6'
D.J. Hogg,2019,Texas A&M,SEC,Wing,9/3/1996,'6-8'
Aaron Holiday,2019,UCLA,Pac-12,Guard,9/30/1996,'6-1'
Kevin Huerter,2019,Maryland,Big Ten,Guard,8/27/1998,'6-7'
DeAngelo Isby,2019,Utah State,MWC,Guard,1/2/1996,'6-5'
Jaren Jackson Jr.,2019,Michigan State,Big Ten,Big,9/15/1999,'6-11'
Kevin Knox,2019,Kentucky,SEC,Wing,8/11/1999,'6-9'
Terry Larrier,2019,VCU,A-10,Wing,8/15/1995,'6-8'
Terry Larrier,2019,UConn,AAC,Wing,8/15/1995,'6-8'
Marquez Letcher-Ellis,2019,Rice,CUSA,Wing,6/14/1997,'6-8'
Makinde London,2019,Xavier,Big East,Big,4/2/1996,'6-10'
Makinde London,2019,Chattanooga,Southern,Big,4/2/1996,'6-10'
Brandon McCoy,2019,UNLV,MWC,Big,6/11/1998,'7-1'
Jack McVeigh,2019,Nebraska,Big Ten,Wing,6/27/1996,'6-8'
De'Anthony Melton,2019,USC,Pac-12,Guard,5/28/1998,'6-3'
Chimezie Metu,2019,USC,Pac-12,Big,3/22/1997,'6-10'
Doral Moore,2019,Wake Forest,ACC,Big,1/21/1997,'7-1'
Malik Newman,2019,Mississippi State,SEC,Guard,2/21/1997,'6-4'
Malik Newman,2019,Kansas,Big 12,Guard,2/21/1997,'6-4'
Shake Milton,2019,SMU,AAC,Wing,9/26/1996,'6-6'
Max Montana,2019,San Diego State,MWC,Wing,1/11/1996,'6-9'
Josh Okogie,2019,Georgia Tech,ACC,Guard,9/1/1998,'6-4'
Ajdin Penava,2019,Marshall,CUSA,Wing,3/11/1997,'6-9'
Michael Porter Jr.,2019,Missouri,SEC,Wing,6/29/1998,'6-11'
Jerome Robinson,2019,Boston College,ACC,Guard,2/22/1997,'6-5'
Corey Sanders,2019,Rutgers,Big Ten,Guard,4/17/1997,'6-1'
Brandon Sampson,2019,LSU,SEC,Guard,5/1/1997,'6-5'
Collin Sexton,2019,Alabama,SEC,Guard,1/4/1999,'6-2'
Landry Shamet,2019,Wichita State,MVC,Guard,3/13/1997,'6-5'
Landry Shamet,2019,Wichita State,AAC,Guard,3/13/1997,'6-5'
Tavarius Shine,2019,Oklahoma State,Big 12,Wing,5/5/1994,'6-6'
Yankuba Sima,2019,St. John's (NY),Big East,Big,7/28/1996,'6-11'
Yankuba Sima,2019,Oklahoma State,Big 12,Big,7/28/1996,'6-11'
David Skara,2019,Valparaiso,Horizon,Wing,2/26/1995,'6-8'
David Skara,2019,Clemson,ACC,Wing,2/26/1995,'6-8'
Zhaire Smith,2019,Texas Tech,Big 12,Guard,6/4/1999,'6-4'
Raymond Spalding,2019,Louisville,ACC,Big,3/11/1997,'6-10'
Omari Spellman,2019,Villanova,Big East,Big,7/21/1997,'6-9'
Khyri Thomas,2019,Creighton,Big East,Guard,5/8/1996,'6-4'
Gary Trent Jr.,2019,Duke,ACC,Wing,1/18/1999,'6-5'
Allonzo Trier,2019,Arizona,Pac-12,Guard,1/17/1996,'6-5'
Jarred Vanderbilt,2019,Kentucky,SEC,Big,4/3/1999,'6-9'
Lagerald Vick,2019,Kansas,Big 12,Guard,1/12/1997,'6-5'
Moritz Wagner,2019,Michigan,Big Ten,Big,4/26/1997,'6-11'
Lonnie Walker,2019,Miami (FL),ACC,Guard,12/14/1998,'6-5'
Robert Williams,2019,Texas A&M,SEC,Big,10/17/1997,'6-9'
Trae Young,2019,Oklahoma,Big 12,Guard,9/19/1998,'6-2'
Grayson Allen,2019,Duke,ACC,Wing,10/8/1995,'6-5'
